"Story","Title","Result","Date","Stability","Duration (s)"
"Create a new user","Create a new user with valid information","SUCCESS","2025-02-20T14:57:16.166541-05:00[America/Guayaquil]","0.0","7.24"
"Delete user","Delete user with valid username","SUCCESS","2025-02-20T14:57:23.4821544-05:00[America/Guayaquil]","0.0","2.46"
"Get user information","Retrieve user information with valid username","SUCCESS","2025-02-20T14:57:25.9911268-05:00[America/Guayaquil]","0.0","1.29"
"Search updated user information","Retrieve updated user information with valid username","SUCCESS","2025-02-20T14:57:27.3209592-05:00[America/Guayaquil]","0.0","1.58"
"Update user information","Update user information with valid data","SUCCESS","2025-02-20T14:57:28.9368976-05:00[America/Guayaquil]","0.0","1.74"
